controller,protocol_variant,task_family,semantics,held_out_tool,error_wording,failure_phase,trials,unsafe_retries,unsafe_retry_rate,unsafe_retry_ci_low,unsafe_retry_ci_high,successful_completions,successful_completion_rate,completion_ci_low,completion_ci_high,exact_final_states,exact_final_state_rate,mean_duplicate_side_effects,mean_retries,mean_status_reads,mean_cost
blind_retry,none,calendar,idempotent_mutation,True,connection_lost,after_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,calendar,idempotent_mutation,True,connection_lost,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,calendar,idempotent_mutation,True,connection_lost,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
blind_retry,none,calendar,idempotent_mutation,True,held_out,after_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,calendar,idempotent_mutation,True,held_out,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,calendar,idempotent_mutation,True,held_out,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
blind_retry,none,calendar,idempotent_mutation,True,service_unavailable,after_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,calendar,idempotent_mutation,True,service_unavailable,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,calendar,idempotent_mutation,True,service_unavailable,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
blind_retry,none,calendar,idempotent_mutation,True,timeout,after_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,calendar,idempotent_mutation,True,timeout,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,calendar,idempotent_mutation,True,timeout,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
blind_retry,none,fulfillment,non_idempotent_mutation,False,connection_lost,after_commit,10,10,1.0,0.7224598312333834,1.0,10,1.0,0.7224598312333834,1.0,0,0.0,1.0,1.0,0.0,2.0
blind_retry,none,fulfillment,non_idempotent_mutation,False,connection_lost,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,fulfillment,non_idempotent_mutation,False,connection_lost,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
blind_retry,none,fulfillment,non_idempotent_mutation,False,held_out,after_commit,10,10,1.0,0.7224598312333834,1.0,10,1.0,0.7224598312333834,1.0,0,0.0,1.0,1.0,0.0,2.0
blind_retry,none,fulfillment,non_idempotent_mutation,False,held_out,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,fulfillment,non_idempotent_mutation,False,held_out,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
blind_retry,none,fulfillment,non_idempotent_mutation,False,service_unavailable,after_commit,10,10,1.0,0.7224598312333834,1.0,10,1.0,0.7224598312333834,1.0,0,0.0,1.0,1.0,0.0,2.0
blind_retry,none,fulfillment,non_idempotent_mutation,False,service_unavailable,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,fulfillment,non_idempotent_mutation,False,service_unavailable,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
blind_retry,none,fulfillment,non_idempotent_mutation,False,timeout,after_commit,10,10,1.0,0.7224598312333834,1.0,10,1.0,0.7224598312333834,1.0,0,0.0,1.0,1.0,0.0,2.0
blind_retry,none,fulfillment,non_idempotent_mutation,False,timeout,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,fulfillment,non_idempotent_mutation,False,timeout,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
blind_retry,none,lookup,read_only,True,connection_lost,after_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,lookup,read_only,True,connection_lost,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,lookup,read_only,True,connection_lost,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
blind_retry,none,lookup,read_only,True,held_out,after_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,lookup,read_only,True,held_out,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,lookup,read_only,True,held_out,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
blind_retry,none,lookup,read_only,True,service_unavailable,after_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,lookup,read_only,True,service_unavailable,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,lookup,read_only,True,service_unavailable,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
blind_retry,none,lookup,read_only,True,timeout,after_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,lookup,read_only,True,timeout,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,lookup,read_only,True,timeout,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
blind_retry,none,messaging,non_idempotent_mutation,False,connection_lost,after_commit,10,10,1.0,0.7224598312333834,1.0,10,1.0,0.7224598312333834,1.0,0,0.0,1.0,1.0,0.0,2.0
blind_retry,none,messaging,non_idempotent_mutation,False,connection_lost,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,messaging,non_idempotent_mutation,False,connection_lost,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
blind_retry,none,messaging,non_idempotent_mutation,False,held_out,after_commit,10,10,1.0,0.7224598312333834,1.0,10,1.0,0.7224598312333834,1.0,0,0.0,1.0,1.0,0.0,2.0
blind_retry,none,messaging,non_idempotent_mutation,False,held_out,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,messaging,non_idempotent_mutation,False,held_out,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
blind_retry,none,messaging,non_idempotent_mutation,False,service_unavailable,after_commit,10,10,1.0,0.7224598312333834,1.0,10,1.0,0.7224598312333834,1.0,0,0.0,1.0,1.0,0.0,2.0
blind_retry,none,messaging,non_idempotent_mutation,False,service_unavailable,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,messaging,non_idempotent_mutation,False,service_unavailable,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
blind_retry,none,messaging,non_idempotent_mutation,False,timeout,after_commit,10,10,1.0,0.7224598312333834,1.0,10,1.0,0.7224598312333834,1.0,0,0.0,1.0,1.0,0.0,2.0
blind_retry,none,messaging,non_idempotent_mutation,False,timeout,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,messaging,non_idempotent_mutation,False,timeout,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
blind_retry,none,payment,non_idempotent_mutation,False,connection_lost,after_commit,10,10,1.0,0.7224598312333834,1.0,10,1.0,0.7224598312333834,1.0,0,0.0,1.0,1.0,0.0,2.0
blind_retry,none,payment,non_idempotent_mutation,False,connection_lost,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,payment,non_idempotent_mutation,False,connection_lost,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
blind_retry,none,payment,non_idempotent_mutation,False,held_out,after_commit,10,10,1.0,0.7224598312333834,1.0,10,1.0,0.7224598312333834,1.0,0,0.0,1.0,1.0,0.0,2.0
blind_retry,none,payment,non_idempotent_mutation,False,held_out,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,payment,non_idempotent_mutation,False,held_out,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
blind_retry,none,payment,non_idempotent_mutation,False,service_unavailable,after_commit,10,10,1.0,0.7224598312333834,1.0,10,1.0,0.7224598312333834,1.0,0,0.0,1.0,1.0,0.0,2.0
blind_retry,none,payment,non_idempotent_mutation,False,service_unavailable,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,payment,non_idempotent_mutation,False,service_unavailable,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
blind_retry,none,payment,non_idempotent_mutation,False,timeout,after_commit,10,10,1.0,0.7224598312333834,1.0,10,1.0,0.7224598312333834,1.0,0,0.0,1.0,1.0,0.0,2.0
blind_retry,none,payment,non_idempotent_mutation,False,timeout,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,payment,non_idempotent_mutation,False,timeout,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
blind_retry,none,support,idempotent_mutation,True,connection_lost,after_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,support,idempotent_mutation,True,connection_lost,before_commit,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,1.0,0.0,2.0
blind_retry,none,support,idempotent_mutation,True,connection_lost,none,10,0,0.0,0.0,0.2775401687666165,10,1.0,0.7224598312333834,1.0,10,1.0,0.0,0.0,0.0,1.0
